City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,78.21,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
10,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
24,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti International Resort
33,Hilo,US,77.29,clear sky,19.7297,-155.09,Dolphin Bay Hotel
34,Hithadhoo,MV,80.91,overcast clouds,-0.6,73.0833,Pebbles Inn
37,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
46,Santa Isabel Do Rio Negro,BR,80.13,overcast clouds,-0.4139,-65.0192,Hotel Maikon
47,Faanui,PF,80.33,moderate rain,-16.4833,-151.75,Oa Oa Lodge
61,Georgetown,MY,81.95,few clouds,5.4112,100.3354,Page 63 hostel
63,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Grand Bel Air
64,Atuona,PF,77.47,broken clouds,-9.8,-139.0333,Pearl Resort
76,Sorong,ID,79.68,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
79,Acapulco,MX,84.45,clear sky,16.8634,-99.8901,Hotel del Valle
81,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
94,Puerto Escondido,MX,85.08,clear sky,15.85,-97.0667,Hotel Barlovento
100,Nouakchott,MR,87.73,few clouds,18.0858,-15.9785,فندق أدرار
102,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Comfort Rooms
108,Fayaoue,NC,79.81,clear sky,-20.65,166.5333,Hôtel Beaupré
109,Cidreira,BR,76.71,moderate rain,-30.1811,-50.2056,Hotel Castelo
129,Sechura,PE,80.02,overcast clouds,-5.5569,-80.8222,Hospedaje Claritza
130,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
131,Tarakan,ID,79.86,overcast clouds,3.3,117.6333,Hotel Dynasty
138,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Tropic Hotel
147,Vallenar,CL,84.6,clear sky,-28.5708,-70.7581,Hotel del Marqués
151,Buritizeiro,BR,83.88,heavy intensity rain,-17.3511,-44.9622,Hotel Pousada Sertão Veredas
156,Bubaque,GW,77.47,scattered clouds,11.2833,-15.8333,Chez Julio
162,Yulara,AU,81.77,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
164,Rawson,AR,77.27,clear sky,-43.3002,-65.1023,Hotel Deportivo
165,Vanimo,PG,77.02,overcast clouds,-2.6741,141.3028,CBC Guesthouse
