City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Sangar,63.9242,127.4739,-63.58,100,79,0.87,RU,broken clouds
1,Doka,13.5167,35.7667,79.45,32,64,11.07,SD,broken clouds
2,Lichuan,30.3,108.85,46.8,97,98,3.22,CN,overcast clouds
3,Tromso,69.6496,18.957,35.62,87,75,13.8,NO,light snow
4,Harrismith,-28.2728,29.1295,64.83,36,2,5.59,ZA,clear sky
5,Ushuaia,-54.8,-68.3,58.62,54,40,24.16,AR,scattered clouds
6,Rikitea,-23.1203,-134.9692,78.21,76,7,20.42,PF,light rain
7,Batemans Bay,-35.7167,150.1833,63.45,96,29,3.47,AU,scattered clouds
8,Kapaa,22.0752,-159.319,66.18,90,0,6.91,US,clear sky
9,Saint-Joseph,-21.3667,55.6167,77.38,78,77,10.67,RE,broken clouds
10,Puerto Ayora,-0.7393,-90.3518,78.76,88,81,8.01,EC,broken clouds
11,San Quintin,30.4833,-115.95,64.44,50,83,5.91,MX,broken clouds
12,Feicheng,35.2606,117.9675,32.72,66,100,14.9,CN,overcast clouds
13,Jamestown,42.097,-79.2353,28.02,75,100,9.22,US,mist
14,Busselton,-33.65,115.3333,57.88,70,1,15.73,AU,clear sky
15,Mataura,-46.1927,168.8643,46.31,95,21,1.41,NZ,few clouds
16,Alihe,50.5667,123.7167,-25.85,97,5,2.86,CN,clear sky
17,Brewer,44.7967,-68.7614,54.39,95,100,14.97,US,overcast clouds
18,Yellowknife,62.456,-114.3525,-15.45,83,20,8.05,CA,few clouds
19,Nikolskoye,59.7035,30.7861,33.8,98,100,11.36,RU,light snow
20,Tiarei,-17.5333,-149.3333,78.82,80,100,20.58,PF,light rain
21,Talnakh,69.4865,88.3972,-34.8,89,21,7.0,RU,few clouds
22,Saskylakh,71.9167,114.0833,-56.38,100,65,3.71,RU,broken clouds
23,Qaanaaq,77.484,-69.3632,2.21,75,100,6.96,GL,overcast clouds
24,Vaini,-21.2,-175.2,77.16,100,20,2.3,TO,few clouds
25,Olot,42.181,2.4901,50.27,60,40,1.99,ES,scattered clouds
26,Vanavara,60.34,102.2797,-15.72,100,100,0.85,RU,overcast clouds
27,Avera,33.194,-82.5271,54.55,50,30,17.11,US,scattered clouds
28,Bredasdorp,-34.5322,20.0403,68.94,66,0,8.32,ZA,clear sky
29,Yanji,42.9075,129.5078,17.87,69,98,6.64,CN,overcast clouds
30,Portland,45.5234,-122.6762,53.04,94,100,16.11,US,light rain
31,Chokurdakh,70.6333,147.9167,-28.86,97,100,7.27,RU,overcast clouds
32,Simpang,-1.2667,104.0833,73.17,97,97,1.81,ID,overcast clouds
33,Hilo,19.7297,-155.09,77.29,58,0,11.5,US,clear sky
34,Hithadhoo,-0.6,73.0833,80.91,69,100,10.45,MV,overcast clouds
