City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,40.05,91,100,1.99,US,2023-01-12 19:42:07
1,Barrow,71.2906,-156.7887,-2.18,78,40,29.93,US,2023-01-12 19:42:07
2,Kodiak,57.79,-152.4072,33.31,93,100,6.91,US,2023-01-12 19:42:08
3,Ushuaia,-54.8,-68.3,64.06,45,75,13.8,AR,2023-01-12 19:42:08
4,Bluff,-46.6,168.3333,52.5,77,17,1.88,NZ,2023-01-12 19:42:10
5,Bambanglipuro,-7.95,110.2833,77.56,79,88,3.22,ID,2023-01-12 19:42:10
6,Khanpur,28.6453,70.6567,53.92,47,0,2.86,PK,2023-01-12 19:42:11
7,Iranshahr,27.2025,60.6848,44.94,31,0,9.22,IR,2023-01-12 19:42:13
8,Puerto Ayora,-0.7393,-90.3518,82.36,88,25,5.01,EC,2023-01-12 19:42:13
9,Upernavik,72.7868,-56.1549,-1.16,61,100,7.72,GL,2023-01-12 19:42:14
10,Alofi,-19.0595,-169.9187,80.49,89,2,3.44,NU,2023-01-12 19:42:14
11,Pisco,-13.7,-76.2167,77.05,69,0,11.5,PE,2023-01-12 19:42:15
12,Norman Wells,65.282,-126.8329,-2.16,84,75,5.75,CA,2023-01-12 19:42:16
13,Hobart,-42.8794,147.3294,61.05,92,75,4.61,AU,2023-01-12 19:40:07
14,Jamestown,42.097,-79.2353,42.03,71,100,9.22,US,2023-01-12 19:39:02
15,Punta Arenas,-53.15,-70.9167,64.51,55,75,29.93,CL,2023-01-12 19:39:55
16,Metro,-5.1131,105.3067,74.46,90,100,5.75,ID,2023-01-12 19:42:20
17,Mataura,-46.1927,168.8643,53.83,74,21,0.49,NZ,2023-01-12 19:42:21
18,Flinders,-34.5833,150.8552,65.17,87,57,4.0,AU,2023-01-12 19:42:21
19,Nome,64.5011,-165.4064,8.67,78,100,9.22,US,2023-01-12 19:39:20
20,Tessalit,20.1986,1.0114,66.96,13,60,9.82,ML,2023-01-12 19:42:23
21,Beringovskiy,63.05,179.3167,-5.76,97,100,9.51,RU,2023-01-12 19:42:24
22,Benghazi,32.1167,20.0667,61.92,63,36,11.36,LY,2023-01-12 19:42:24
23,Tilichiki,60.4667,166.1,-10.8,87,100,8.48,RU,2023-01-12 19:42:25
24,Mar Del Plata,-38.0023,-57.5575,71.94,69,75,11.5,AR,2023-01-12 19:42:26
25,Yellowknife,62.456,-114.3525,7.32,85,100,6.91,CA,2023-01-12 19:42:26
26,Brasilia De Minas,-16.2064,-44.4333,77.2,86,98,2.06,BR,2023-01-12 19:42:27
27,New Norfolk,-42.7826,147.0587,60.71,69,100,1.01,AU,2023-01-12 19:42:28
28,Fortuna,40.5982,-124.1573,65.98,55,20,21.85,US,2023-01-12 19:42:28
29,Vrangel,42.7297,133.0839,31.91,70,100,3.98,RU,2023-01-12 19:42:29
30,Gravelbourg,49.8834,-106.5512,19.67,92,100,8.14,CA,2023-01-12 19:42:30
31,Esperance,-33.8667,121.9,61.0,92,5,7.36,AU,2023-01-12 19:42:30
32,Grindavik,63.8424,-22.4338,27.07,74,0,4.61,IS,2023-01-12 19:38:03
33,Arraial Do Cabo,-22.9661,-42.0278,87.76,70,75,10.36,BR,2023-01-12 19:42:31
34,Romanovka,51.7443,42.7527,12.67,89,100,12.21,RU,2023-01-12 19:42:32
35,Vaini,-21.2,-175.2,82.56,83,20,9.22,TO,2023-01-12 19:42:33
36,Rikitea,-23.1203,-134.9692,78.19,78,13,20.87,PF,2023-01-12 19:42:33
37,Ostrovnoy,68.0531,39.5131,27.72,87,100,20.94,RU,2023-01-12 19:42:35
38,Saint-Philippe,-21.3585,55.7679,78.39,80,96,11.81,RE,2023-01-12 19:42:35
39,Hasaki,35.7333,140.8333,30.6,59,0,4.07,JP,2023-01-12 19:42:35
40,Cayenne,4.9333,-52.3333,78.84,89,75,6.91,GF,2023-01-12 19:42:35
41,Chopinzinho,-25.8558,-52.5233,71.11,81,98,1.41,BR,2023-01-12 19:42:36
42,Atuona,-9.8,-139.0333,78.62,69,14,13.6,PF,2023-01-12 19:42:36
43,Busselton,-33.65,115.3333,60.76,93,3,7.52,AU,2023-01-12 19:42:36
44,Mafinga,-7.25,35.0667,65.19,94,91,5.17,TZ,2023-01-12 19:42:36
45,Jalu,29.0331,21.5482,59.13,51,68,8.01,LY,2023-01-12 19:42:37
46,Bardiyah,31.7561,25.0865,57.16,71,21,12.66,LY,2023-01-12 19:42:37
47,Kirakira,-10.4544,161.9205,80.01,84,87,5.91,SB,2023-01-12 19:43:37
48,Los Llanos De Aridane,28.6585,-17.9182,62.35,74,75,19.57,ES,2023-01-12 19:43:38
49,Ambon,-3.6954,128.1814,75.34,94,40,5.75,ID,2023-01-12 19:43:38
50,Touros,-5.1989,-35.4608,81.72,68,3,14.41,BR,2023-01-12 19:43:38
51,Airai,-8.9266,125.4092,58.95,88,100,0.92,TL,2023-01-12 19:43:39
